date,city,precipitation,sunshine,templature
1944-01-01,Tokyo,12.3,172.2,3
1944-02-01,Tokyo,27.7,188,3.2
1944-03-01,Tokyo,118.1,162.4,5.6
1944-04-01,Tokyo,188.8,170.7,10.6
1944-05-01,Tokyo,69.4,183.6,17.7
1944-06-01,Tokyo,93,191.5,22.3
1944-07-01,Tokyo,118.7,195.2,25.6
1944-08-01,Tokyo,53.2,242,27.5
1944-09-01,Tokyo,76.9,161.5,23.2
1944-10-01,Tokyo,418.8,112.8,16.3
1944-11-01,Tokyo,129.2,144.7,10.9
1944-12-01,Tokyo,22.7,189.7,4.3
1945-01-01,Tokyo,2.1,204.9,1.1
1945-02-01,Tokyo,100.3,193,1.6
1945-03-01,Tokyo,57,189.1,6.6
1945-04-01,Tokyo,94,210.7,13.5
1945-05-01,Tokyo,130.9,184,15.6
1945-06-01,Tokyo,89.1,129.5,20.4
1945-07-01,Tokyo,208.5,149.9,22
1945-08-01,Tokyo,126.8,248.1,26.7
1945-09-01,Tokyo,118.4,122.8,22.4
1945-10-01,Tokyo,530.8,127.6,16.8
1945-11-01,Tokyo,120.8,186.4,11.3
1945-12-01,Tokyo,37.2,220.7,4.8
1946-01-01,Tokyo,33.4,193.1,3.5
1946-02-01,Tokyo,95.4,164.1,4.2
1946-03-01,Tokyo,103.7,163,6.2
1946-04-01,Tokyo,118.8,210.1,14.3
1946-05-01,Tokyo,113.3,141.6,16.9
1946-06-01,Tokyo,59.7,232.4,23.3
1946-07-01,Tokyo,127,214,26.2
1946-08-01,Tokyo,56.2,230.6,26.7
1946-09-01,Tokyo,145.5,167,23.1
1946-10-01,Tokyo,234.3,166.9,17.3
1946-11-01,Tokyo,113.1,123.7,12.4
1946-12-01,Tokyo,35.9,182.7,4.7
1947-01-01,Tokyo,69.9,152.3,3.4
1947-02-01,Tokyo,36,199.1,2.7
1947-03-01,Tokyo,77,176.5,6.8
